plan_date,vessel,vessel_speed_kts,event_date,etd_local,from,via,to,return_via,return_to,purpose,etd_uncertain,raw_text
2026-05-06,Allianz Juno,14,2026-05-06,07:00,Shuaiba B4,NP|OPH,OD-1,NP,Shuaiba B4,Crew Change pax,false,"Sail to Rig Oriental Dragon Via NSBP & Oriental Phoenix with Crew Change pax, ETD 07.00hrs. Return via NSBP."
2026-05-06,Crest Argus 3,10,2026-05-06,15:00,OPH,,Shuaiba B20,,,Return to port,false,"Sail to Shuaiba Port, ETD from Rig OPH 15.00hrs."
2026-05-06,Crest Argus 5,10,2026-05-06,11:00,Shuaiba B20,,OPH,,,WPS tools / COSL spares (PDF truncated),true,"Sail to Oriental Phoenix with WPS tools, COSL Spares, OPH [TRUNCATED IN SOURCE]"
2026-05-07,Allianz Juno,14,2026-05-07,09:30,Shuaiba B4,,OPH,,Shuaiba B4,MOI & Explosives,false,"1st run to Rig Oriental Phoenix with MOI & Explosives, ETD 09.30hrs."
2026-05-07,Allianz Juno,14,2026-05-07,13:30,Shuaiba B4,,OD-1,,Shuaiba B4,Crew pax,true,"2nd Run to Rig Oriental Dragon-1 with Crew pax, ETD 01.30hrs (suspected 13:30 typo)."
2026-05-08,Allianz Juno,14,2026-05-08,08:00,Shuaiba B4,NP|OD-1,OPH,,Shuaiba B4,Cargo run,false,"Sail to OPH via NSBP & OD-1, ETD 08.00hrs."
2026-05-08,Crest Argus 3,10,2026-05-08,15:00,Shuaiba B20,,OPH,,,ETD TBC in source,true,"Sail to Oriental Phoenix, ETD TBC."
2026-05-09,Allianz Juno,14,2026-05-09,07:30,Shuaiba B4,NP|OPH,OD-1,NP,Shuaiba B4,Crew change pax,false,"Sail to OD via NSBP & OPH with Crew change pax, ETD 07.30hrs. Return via NSBP."
2026-05-09,Crest Argus 5,10,2026-05-09,16:00,OPH,,Shuaiba B20,,,Return to port,false,"Sail to Shuaiba Port, ETD 16.00hrs."
2026-05-10,Allianz Juno,14,2026-05-10,08:30,Shuaiba B4,NP,OPH,,Shuaiba B4,Crew change pax,false,"1st Run to OPH via NSBP with Crew change pax, ETD 08.30hrs."
2026-05-10,Allianz Juno,14,2026-05-10,13:00,Shuaiba B4,,OD-1,,Shuaiba B4,Crest Argus-1 Food containers,false,"2nd Run to OD with Crest Argus-1 Food containers, ETD 13.00hrs."
2026-05-12,Allianz Juno,14,2026-05-12,07:30,Shuaiba B4,NP,OD-1,,Shuaiba B4,COSL Crew Change Pax,false,"1st Trip to OD-1 via NSBP with COSL Crew Change Pax, ETD 07.30hrs."
2026-05-12,Allianz Juno,14,2026-05-12,13:00,Shuaiba B4,,OPH,,Shuaiba B4,Cargo,false,"2nd Run to OPH with cargo, ETD 13.00hrs, return to Shuaiba."
2026-05-12,Crest Argus 1,10,2026-05-12,14:00,OD-1,,Shuaiba B20,,,Return to port,false,"Sail to Shuaiba Port, ETD 14.00 Hrs."
2026-05-12,Crest Argus 5,10,2026-05-12,10:00,Shuaiba B20,,OD-1,,,Sail to rig,false,"Sail to OD-1, ETD 10.00hrs."
2026-05-13,Allianz Juno,14,2026-05-13,06:00,North Port,,OD-1,NP,Shuaiba B4,KOC Crew Change Pax,false,"1st Trip to OD-1 with KOC Crew Change Pax, ETD from NP at 06.00hrs. Return to Shuaiba via NP."
2026-05-13,Allianz Juno,14,2026-05-13,11:00,Shuaiba B4,NP,OPH,NP,Shuaiba B4,Food containers & Crew Change Pax,false,"2nd Run to OPH with food & crew, ETD 11.00hrs, return via NSBP."
2026-05-13,Crest Argus 5,10,2026-05-13,19:00,OD-1,,Shuaiba B20,,,Return to port,false,"Sail to Shuaiba Port, ETD 19.00hrs."
2026-05-14,Crest Argus 1,10,2026-05-14,16:00,Shuaiba B20,,OD-1,,,Sail to rig,false,"Sail to OD-1, ETD 16.00 Hrs."
